Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230209T210217,5.7946558038066005,[3],[324]
20230209T210223,8.752445133540887,[3],[373]
20230209T210232,7.231857330567051,[3],[312]
20230209T210239,3.82492484604525,[3],[309]
20230209T210243,5.307795723228273,[3],[329]
20230209T210248,4.213685751475605,[3],[322]
20230209T210252,4.298116999017816,[3],[305]
20230209T210257,7.271711161299944,[3],[289]
20230209T210304,5.74270889742877,[3],[288]
20230209T210310,2.290797011195955,[3],[306]
20230209T210312,3.519972875940409,[3],[342]
20230209T210315,1.3214969926741658,[3],[316]
20230209T210317,1.1129820779370894,[3],[337]
20230209T210318,1.8271486746849313,[3],[291]
20230209T210320,7.7733774207651685,[3],[298]
20230209T210328,2.1284296212351475,[3],[330]
20230209T210330,7.028265724333562,[3],[339]
20230209T210337,7.096315302331856,[],[]
20230209T210344,4.022497965512585,[3],[297]
20230209T210348,4.219991514924227,[3],[314]
20230209T210352,5.324777700955138,[3],[284]
20230209T210357,4.686532923874679,[3],[288]
20230209T210402,2.0929225174576382,[3],[274]
20230209T210404,4.265228411507818,[3],[312]
20230209T210408,6.146053276958236,[3],[304]
20230209T210415,2.3862753871722626,[3],[305]
20230209T210417,4.147367378971005,[3],[318]
20230209T210421,7.97647263075564,[3],[291]
20230209T210429,7.31929077026705,[3],[297]
20230209T210437,5.621153480994356,[3],[342]
20230209T210442,3.479651426536634,[3],[268]
20230209T210446,2.706128702930143,[3],[368]
20230209T210448,8.22576443386259,[3],[306]
20230209T210457,3.0447976287354486,[3],[299]
20230209T210500,3.782890930703667,[3],[348]
20230209T210503,2.0738249073593273,[3],[298]
20230209T210506,6.969857329574358,[3],[307]
20230209T210513,5.060471508739747,[3],[334]
