Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230721T233006,"(0, 1, 0)",8.96,[353],[0]
20230721T233015,"(0, 0, 1)",6.1,[390],[0]
20230721T233021,"(1, 0, 0)",1.88,[373],[0]
20230721T233023,"(0, 0, 1)",6.02,[539],[0]
20230721T233029,"(0, 1, 0)",4.72,[383],[0]
20230721T233034,"(1, 1, 0)",8.75,[457],[0]
20230721T233043,"(1, 0, 0)",9.35,[658],[0]
20230721T233052,"(0, 0, 1)",1.43,[346],[0]
20230721T233053,"(1, 0, 0)",2.5,[370],[0]
20230721T233056,"(1, 1, 0)",2.6,[326],[0]
20230721T233059,"(0, 0, 1)",6.36,[319],[0]
20230721T233105,"(1, 0, 0)",3.38,[315],[0]
20230721T233108,"(0, 1, 0)",1.31,[429],[0]
20230721T233110,"(1, 0, 0)",7.88,"[354, 6948]","[0, 0]"
20230721T233118,"(0, 1, 0)",6.35,[482],[0]
20230721T233124,"(1, 1, 0)",9.9,[413],[0]
20230721T233134,"(0, 1, 0)",9.07,[369],[0]
20230721T233143,"(1, 1, 0)",9.06,[345],[0]
20230721T233152,"(0, 0, 1)",4.42,[781],[0]
20230721T233157,"(0, 1, 0)",2.26,[428],[0]
20230721T233159,"(1, 1, 0)",2.22,[368],[0]
20230721T233201,"(0, 1, 0)",4.84,[347],[0]
20230721T233206,"(0, 0, 1)",1.7,[701],[0]
20230721T233208,"(1, 1, 0)",3.78,[366],[0]
20230721T233211,"(0, 1, 0)",2.32,[],[]
20230721T233214,"(1, 0, 0)",6.19,[425],[0]
20230721T233220,"(1, 1, 0)",7.1,[2640],[0]
20230721T233227,"(0, 1, 0)",4.19,[],[]
20230721T233231,"(1, 0, 0)",4.57,[1488],[0]
20230721T233236,"(1, 1, 0)",7.93,[349],[0]
20230721T233244,"(0, 1, 0)",2.41,[],[]
20230721T233246,"(0, 0, 1)",9.76,[367],[0]
20230721T233256,"(1, 1, 0)",1.73,[],[]
20230721T233258,"(0, 0, 1)",5.08,[1106],[0]
20230721T233303,"(0, 1, 0)",7.71,[356],[0]
20230721T233311,"(0, 0, 1)",1.69,[131],[0]
20230721T233312,"(0, 1, 0)",8.1,"[354, 1894]","[0, 0]"
20230721T233320,"(1, 0, 0)",2.04,[],[]
20230721T233323,"(0, 1, 0)",5.45,"[507, 1253]","[0, 0]"
20230721T233328,"(0, 0, 1)",3.86,[],[]
20230721T233332,"(0, 1, 0)",2.67,[],[]
20230721T233335,"(0, 0, 1)",5.25,[690],[0]
20230721T233340,"(0, 1, 0)",4.7,[3899],[0]
20230721T233345,"(0, 0, 1)",5.62,[550],[0]
20230721T233350,"(1, 1, 0)",2.96,[461],[0]
20230721T233353,"(0, 0, 1)",9.58,[],[]
20230721T233403,"(0, 1, 0)",2.37,[420],[0]
20230721T233405,"(1, 1, 0)",3.8,[],[]
20230721T233409,"(0, 1, 0)",6.89,[],[]
20230721T233416,"(0, 0, 1)",2.72,[330],[0]
20230721T233419,"(1, 0, 0)",6.11,[369],[0]
20230721T233425,"(1, 1, 0)",9.57,"[1019, 8952]","[0, 0]"
20230721T233434,"(0, 0, 1)",3.7,[412],[0]
20230721T233438,"(1, 1, 0)",9.79,[4252],[0]
20230721T233448,"(1, 0, 0)",1.63,[],[]
20230721T233450,"(0, 0, 1)",2.47,[],[]
20230721T233452,"(1, 0, 0)",7.26,[3960],[0]
20230721T233459,"(1, 1, 0)",3.83,[434],[0]
20230721T233503,"(0, 0, 1)",2.02,[509],[0]
20230721T233505,"(1, 1, 0)",6.01,[849],[0]
20230721T233511,"(0, 1, 0)",4.54,[376],[0]
20230721T233516,"(0, 0, 1)",1.78,[381],[0]
20230721T233518,"(1, 1, 0)",5.12,[393],[0]
20230721T233523,"(1, 0, 0)",2.2,[351],[0]
20230721T233525,"(0, 1, 0)",9.84,[371],[0]
20230721T233535,"(0, 0, 1)",5.23,[292],[0]
20230721T233540,"(1, 0, 0)",6.95,[362],[0]
20230721T233547,"(1, 1, 0)",6.83,[497],[0]
20230721T233554,"(0, 1, 0)",2.38,[384],[0]
20230721T233556,"(1, 1, 0)",1.63,[425],[0]
20230721T233558,"(1, 0, 0)",5.59,[481],[0]
20230721T233604,"(0, 1, 0)",5.05,[329],[0]
20230721T233609,"(0, 0, 1)",9.64,"[1675, 9242]","[0, 0]"
20230721T233618,"(1, 0, 0)",1.55,[387],[0]
20230721T233620,"(1, 1, 0)",3.04,[407],[0]
20230721T233623,"(0, 0, 1)",9.65,[],[]
20230721T233633,"(0, 1, 0)",4.3,[299],[0]
20230721T233637,"(0, 0, 1)",8.83,[315],[0]
20230721T233646,"(1, 1, 0)",6.95,[367],[0]
20230721T233653,"(0, 0, 1)",9.34,[],[]
20230721T233702,"(1, 1, 0)",2.41,[342],[0]
20230721T233705,"(0, 0, 1)",8.53,[327],[0]
20230721T233713,"(1, 1, 0)",2.16,[411],[0]
20230721T233715,"(1, 0, 0)",4.1,[418],[0]
20230721T233719,"(1, 1, 0)",5.45,[438],[0]
20230721T233725,"(0, 1, 0)",2.86,[604],[0]
20230721T233728,"(1, 0, 0)",8.65,"[468, 7507]","[0, 0]"
20230721T233736,"(0, 0, 1)",7.37,[329],[0]
20230721T233744,"(1, 0, 0)",2.0,[756],[0]
20230721T233746,"(1, 1, 0)",9.05,[595],[0]
20230721T233755,"(0, 0, 1)",7.08,[2475],[0]
20230721T233802,"(1, 0, 0)",6.62,[2140],[0]
20230721T233809,"(0, 0, 1)",8.1,[1511],[0]
20230721T233817,"(0, 1, 0)",4.47,[1574],[0]
20230721T233821,"(0, 0, 1)",1.51,[1378],[0]
20230721T233823,"(1, 0, 0)",6.55,[397],[0]
20230721T233829,"(0, 1, 0)",3.73,[479],[0]
20230721T233833,"(0, 0, 1)",3.75,[352],[0]
20230721T233837,"(1, 0, 0)",7.85,[3429],[0]
20230721T233845,"(0, 1, 0)",7.07,[407],[0]
20230721T233852,"(1, 0, 0)",3.16,[],[]
20230721T233855,"(0, 1, 0)",7.0,"[74, 492]","[0, 0]"
20230721T233902,"(0, 0, 1)",1.55,[],[]
20230721T233904,"(0, 1, 0)",7.01,[762],[0]
20230721T233911,"(0, 0, 1)",7.92,[1719],[0]
20230721T233919,"(0, 1, 0)",4.12,[517],[0]
20230721T233923,"(1, 1, 0)",6.97,[386],[0]
20230721T233930,"(0, 1, 0)",5.16,[4125],[0]
20230721T233935,"(0, 0, 1)",7.77,[323],[0]
20230721T233943,"(1, 1, 0)",2.99,[],[]
20230721T233946,"(0, 1, 0)",9.07,"[2792, 5547]","[0, 0]"
20230721T233955,"(1, 0, 0)",6.89,[],[]
20230721T234002,"(1, 1, 0)",8.05,[2401],[0]
20230721T234010,"(1, 0, 0)",4.77,[388],[0]
20230721T234015,"(1, 1, 0)",4.02,[345],[0]
20230721T234019,"(1, 0, 0)",6.98,[460],[0]
20230721T234026,"(1, 1, 0)",2.45,[],[]
20230721T234028,"(1, 0, 0)",8.48,[5791],[0]
20230721T234037,"(0, 1, 0)",8.63,[375],[0]
20230721T234045,"(0, 0, 1)",6.94,[396],[0]
20230721T234052,"(1, 1, 0)",1.31,[],[]
20230721T234054,"(1, 0, 0)",1.05,[],[]
20230721T234055,"(1, 1, 0)",4.84,[4388],[0]
20230721T234059,"(0, 1, 0)",5.12,[680],[0]
20230721T234105,"(0, 0, 1)",9.78,[323],[0]
20230721T234114,"(0, 1, 0)",7.27,[904],[0]
20230721T234122,"(1, 0, 0)",5.32,[323],[0]
20230721T234127,"(0, 0, 1)",2.75,[410],[0]
20230721T234130,"(0, 1, 0)",2.5,[391],[0]
20230721T234132,"(0, 0, 1)",2.88,[499],[0]
20230721T234135,"(1, 0, 0)",8.16,[315],[0]
20230721T234143,"(1, 1, 0)",1.67,[965],[0]
20230721T234145,"(1, 0, 0)",6.49,[342],[0]
20230721T234152,"(0, 0, 1)",8.5,[420],[0]
20230721T234200,"(0, 1, 0)",4.57,[356],[0]
20230721T234205,"(1, 0, 0)",9.27,[305],[0]
20230721T234214,"(1, 1, 0)",8.57,[596],[0]
20230721T234223,"(1, 0, 0)",3.24,[447],[0]
20230721T234226,"(0, 1, 0)",2.49,[398],[0]
20230721T234228,"(1, 1, 0)",4.36,[412],[0]
20230721T234233,"(0, 1, 0)",8.64,[393],[0]
20230721T234241,"(1, 1, 0)",7.43,[389],[0]
20230721T234249,"(0, 0, 1)",9.03,[811],[0]
20230721T234258,"(1, 0, 0)",6.51,[460],[0]
20230721T234304,"(0, 0, 1)",6.38,[410],[0]
20230721T234311,"(1, 1, 0)",7.18,[380],[0]
20230721T234318,"(0, 1, 0)",8.47,[337],[0]
20230721T234327,"(0, 0, 1)",8.59,[361],[0]
20230721T234335,"(1, 1, 0)",3.82,[345],[0]
20230721T234339,"(0, 0, 1)",4.29,[364],[0]
20230721T234343,"(0, 1, 0)",6.61,[386],[0]
20230721T234350,"(1, 0, 0)",9.27,[518],[0]
20230721T234359,"(0, 0, 1)",6.2,[465],[0]
20230721T234405,"(1, 0, 0)",6.63,[415],[0]
20230721T234412,"(0, 0, 1)",7.42,[351],[0]
20230721T234420,"(1, 0, 0)",7.49,[456],[0]
20230721T234427,"(1, 1, 0)",9.01,[373],[0]
20230721T234436,"(0, 1, 0)",5.43,[469],[0]
20230721T234442,"(1, 0, 0)",3.89,[359],[0]
20230721T234445,"(1, 1, 0)",6.0,[377],[0]
20230721T234451,"(0, 1, 0)",4.32,[491],[0]
20230721T234456,"(1, 0, 0)",8.74,[378],[0]
20230721T234505,"(0, 0, 1)",9.42,[334],[0]
20230721T234514,"(1, 0, 0)",8.14,[776],[0]
20230721T234522,"(0, 1, 0)",7.72,[507],[0]
20230721T234530,"(0, 0, 1)",6.14,[397],[0]
20230721T234536,"(1, 0, 0)",2.1,[399],[0]
20230721T234538,"(0, 0, 1)",6.52,[337],[0]
20230721T234545,"(0, 1, 0)",9.01,[449],[0]
20230721T234554,"(1, 0, 0)",7.98,[342],[0]
20230721T234602,"(1, 1, 0)",8.23,[484],[0]
20230721T234610,"(0, 1, 0)",5.04,[390],[0]
20230721T234615,"(1, 1, 0)",1.21,[443],[0]
20230721T234616,"(0, 0, 1)",3.81,[518],[0]
20230721T234620,"(0, 1, 0)",3.48,[427],[0]
20230721T234624,"(0, 0, 1)",3.54,[819],[0]
20230721T234627,"(1, 1, 0)",7.93,[509],[0]
20230721T234635,"(0, 0, 1)",8.52,[694],[0]
20230721T234644,"(1, 0, 0)",6.09,[1135],[0]
20230721T234650,"(1, 1, 0)",3.83,[1309],[0]
20230721T234654,"(0, 0, 1)",7.25,[426],[0]
20230721T234701,"(1, 1, 0)",6.61,[417],[0]
20230721T234708,"(0, 1, 0)",4.92,[697],[0]
20230721T234712,"(0, 0, 1)",2.06,[488],[0]
20230721T234715,"(1, 0, 0)",4.62,[477],[0]
20230721T234719,"(0, 0, 1)",1.62,[490],[0]
20230721T234721,"(0, 1, 0)",3.41,[597],[0]
20230721T234724,"(1, 0, 0)",2.62,[538],[0]
20230721T234727,"(1, 1, 0)",8.55,[370],[0]
20230721T234735,"(0, 0, 1)",3.86,[273],[0]
20230721T234739,"(1, 0, 0)",7.2,[438],[0]
20230721T234747,"(0, 0, 1)",5.93,[366],[0]
20230721T234753,"(1, 1, 0)",3.49,[390],[0]
20230721T234756,"(1, 0, 0)",7.13,[791],[0]
20230721T234803,"(1, 1, 0)",2.67,[429],[0]
20230721T234806,"(0, 0, 1)",9.74,[345],[0]
20230721T234816,"(1, 1, 0)",8.19,[345],[0]
20230721T234824,"(0, 0, 1)",6.45,[395],[0]
20230721T234830,"(1, 1, 0)",7.7,[363],[0]
20230721T234838,"(0, 1, 0)",3.03,[449],[0]
20230721T234841,"(1, 0, 0)",5.94,[480],[0]
20230721T234847,"(0, 1, 0)",1.94,[335],[0]
20230721T234849,"(0, 0, 1)",8.29,[345],[0]
20230721T234857,"(1, 1, 0)",1.21,[648],[0]
20230721T234859,"(0, 1, 0)",8.32,[409],[0]
20230721T234907,"(1, 0, 0)",6.7,[308],[0]
20230721T234914,"(0, 1, 0)",7.24,[1503],[0]
20230721T234921,"(0, 0, 1)",8.95,[322],[0]
20230721T234930,"(1, 0, 0)",5.92,[605],[0]
20230721T234936,"(0, 0, 1)",6.3,[392],[0]
20230721T234942,"(1, 0, 0)",9.28,[439],[0]
