Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T195922,3.21,[0],[255]
20230724T195926,1.71,[0],[320]
20230724T195927,4.38,[0],[324]
20230724T195932,1.44,[0],[328]
20230724T195933,2.97,[0],[362]
20230724T195936,2.87,[0],[280]
20230724T195939,7.07,[0],[365]
20230724T195946,4.44,[0],[366]
20230724T195951,5.81,[0],[302]
20230724T195956,8.67,[0],[277]
20230724T200005,2.61,[0],[365]
20230724T200008,3.66,[0],[343]
20230724T200011,3.6,[0],[371]
20230724T200015,2.89,[0],[286]
20230724T200018,5.71,[0],[243]
20230724T200024,7.18,[0],[384]
20230724T200031,7.17,[0],[295]
20230724T200038,2.68,[0],[246]
20230724T200041,6.79,[0],[246]
20230724T200047,1.05,[0],[559]
20230724T200048,4.02,"[0, 0]","[371, 3101]"
20230724T200052,2.14,[0],[548]
20230724T200055,7.15,[0],[256]
20230724T200102,6.96,[0],[369]
20230724T200109,4.71,[0],[292]
20230724T200113,5.69,[0],[295]
20230724T200119,3.11,[0],[243]
20230724T200122,4.28,[0],[297]
20230724T200127,7.9,[0],[327]
20230724T200134,5.9,[0],[286]
20230724T200140,8.94,[0],[300]
20230724T200149,3.32,[0],[289]
20230724T200153,2.93,[0],[305]
20230724T200156,6.59,[0],[286]
20230724T200202,5.91,[0],[341]
20230724T200208,1.93,[0],[301]
20230724T200210,8.14,[0],[241]
20230724T200218,7.72,[0],[457]
